solID,fb_alphas,fb_gammas,fb_thetas,tv_alphas,tv_gammas,tv_thetas,mape,nrmse,decomp.rssd,rsq_train,pos,lambda,Elapsed,ElapsedAccum,iterPar,iterNG,df.int,trial,iterations,coef0,mape.qt10,robynPareto
1_100_1,1.27913576738415,0.920025887235283,0.0124930722477523,1.66885490289635,0.833816788880231,0.0882198668417496,0.0272190555377867,0.0294749951253806,0.414212145314158,0.983888597951021,1,99230.7827280951,0.15093207359314,126.023210048676,1,100,1,1,,FALSE,FALSE,
1_100_2,1.61427735873425,0.719319053039602,0.066520486507344,1.20662478366435,0.890146153837336,0.0239128438147861,0.0562532020053365,0.0339686145695839,0.348008572565632,0.978601589237126,1,99102.6391019812,0.15034294128418,126.17455291748,2,100,1,1,,FALSE,FALSE,
1_100_3,1.78900929460754,0.641212224951805,0.0356050296799623,0.76218832347072,0.632293324586784,0.00393703373762765,0.118458897012043,0.0485141951795157,0.216479464977175,0.956352083922105,0,108856.927974657,0.170920848846436,126.347472906113,3,100,1,1,,FALSE,FALSE,
1_100_4,1.72890074695056,0.932219656881037,0.063533977527688,1.89480619700793,0.461695503870387,0.192319170764874,0.15842408709814,0.0428230533814202,0.288378337134868,0.965991998436844,1,109076.169332877,0.149804830551147,126.49927687645,4,100,1,1,,FALSE,FALSE,
1_100_5,1.43261153366018,0.862167471232131,0.010624542061959,1.25096348725401,0.525117139150893,0.0889603215867639,0.0398791854644197,0.0394852134469503,0.303291244160623,0.971086888467894,0,99288.7540274005,0.150933980941772,126.651211977005,5,100,1,1,,FALSE,FALSE,
1_100_6,1.83226043476305,0.697055585777211,0.0295961912101335,1.96164552391434,0.964540680437258,0.012119548532942,0.156237769599437,0.0276840288800057,0.397588399241958,0.985787043112863,1,99308.0948998234,0.174932956695557,126.828145980835,6,100,1,1,,FALSE,FALSE,
1_101_1,1.25398777445316,0.776522450226417,0.0152931353131134,0.779655810264055,0.701233998597777,0.179979676172756,0.0751686258536957,0.0493534461781009,0.22486384202179,0.954828884241786,0,108759.483125085,0.150935888290405,127.481871843338,1,101,1,1,,FALSE,FALSE,
1_101_2,1.86026207075943,0.744019749596221,0.0630778250042099,0.515672319153837,0.697237925522436,0.126359956878314,0.151942864859432,0.0505632441440854,0.00216931013205127,0.952587188115775,0,99264.7897301323,0.171519041061401,127.655390024185,2,101,1,1,,FALSE,FALSE,
1_101_3,1.75415735662045,0.569821805486251,0.0452963805832316,0.597749483694198,0.909932265886636,0.179375513163747,0.0952391928512658,0.0524693882370851,0.0842786544039389,0.948945050303195,0,119266.717289813,0.147929906845093,127.805318832397,3,101,1,1,,FALSE,FALSE,
1_101_4,1.47091907396371,0.741465158205918,0.0686790261300003,1.44982104864217,0.879237927829986,0.0304715527826903,0.00359243100617092,0.0316938045497217,0.400972333507839,0.981371640860793,1,99047.5088470684,0.150937080383301,127.958255052567,4,101,1,1,604,FALSE,TRUE,9
1_101_5,1.46963604781197,0.685466971707003,0.0286271439589809,1.5901088863056,0.887294549904073,0.12585327837475,0.00580566606071677,0.0319386286463307,0.390864111337928,0.981082733543006,1,90311.2657770748,0.183923006057739,128.144176959991,5,101,1,1,605,FALSE,TRUE,5
1_101_6,1.56579326039275,0.575307763329429,0.109402367546738,0.731161568336163,0.633637988528549,0.0264287746765151,0.0291222581119918,0.0540916767845736,0.269997872073647,0.945739131592995,0,118726.793403147,0.149935007095337,128.296110868454,6,101,1,1,,FALSE,FALSE,
1_102_1,1.49555562033351,0.880519235386732,0.0588115060076944,1.91691125114326,0.835476634845361,0.0306627562207791,0.0519470923215163,0.0284366529070871,0.422159817609942,0.985003745381565,1,99240.5574396018,0.17192816734314,128.888855934143,1,102,1,1,,FALSE,FALSE,
1_102_2,1.34683621205373,0.428350252423203,0.0352858537777355,0.954495105280495,0.759497660296989,0.0743423387067336,0.173688252136596,0.0444161915086069,0.356836162876374,0.9634145429089,0,98687.8608556831,0.150941133499146,129.040796041489,2,102,1,1,,FALSE,FALSE,
