,date,tv,context_0_center,context_100_center,bookings_noiseless,bookings_noisy,bookings_noisy_context
0,2015-01-01,3392,2.095219729230004,102.09521972923001,10678400,10870269.370851157,12546445.15423516
1,2015-01-02,2303,-0.4106380054676871,99.58936199453231,10460600,10548769.594131095,10220259.189756945
2,2015-01-03,7985,0.25203189928717706,100.25203189928718,11597000,11098011.573664386,11299637.093094127
3,2015-01-04,2064,0.6457538743250081,100.64575387432501,10412800,10740899.534050278,11257502.633510284
4,2015-01-05,8499,-1.6896930480430343,98.31030695195696,11699800,12173942.72236539,10822188.283930963
5,2015-01-06,8849,0.9670922988572761,100.96709229885728,11769800,11439143.758385953,12212817.597471774
6,2015-01-07,5307,0.9107460697738213,100.91074606977382,11061400,10906138.711785708,11634735.567604765
7,2015-01-08,9070,-0.5451654235942742,99.45483457640573,11814000,11045162.402398402,10609030.063522983
8,2015-01-09,5534,0.013156884352722345,100.01315688435272,11106800,11114205.656200675,11124731.163682854
9,2015-01-10,6999,0.5784665553372047,100.5784665553372,11399800,11408441.610117404,11871214.854387168
10,2015-01-11,379,0.07113228416027068,100.07113228416027,10075800,10466915.166705765,10523820.994033981
11,2015-01-12,9305,-1.1838382501926947,98.8161617498073,11861000,12492606.804213166,11545536.20405901
12,2015-01-13,9583,0.8613344772838896,100.86133447728389,11916600,12279902.01150448,12968969.593331592
13,2015-01-14,9035,-0.4791241770813943,99.52087582291861,11807000,12912497.621726915,12529198.2800618
14,2015-01-15,706,0.448758722592564,100.44875872259256,10141200,10457395.131311059,10816402.10938511
15,2015-01-16,132,0.1753763127166822,100.17537631271668,10026400,9733387.489983376,9873688.540156722
16,2015-01-17,6948,1.9034561092233273,101.90345610922333,11389600,12126399.401420616,13649164.288799278
17,2015-01-18,9077,-0.15616504623058725,99.84383495376942,11815400,11895517.497462958,11770585.460478488
18,2015-01-19,7884,0.24025254616994396,100.24025254616994,11576800,12137110.141206143,12329312.178142099
19,2015-01-20,5884,-0.2019974545031264,99.79800254549687,11176800,10680696.106485372,10519098.14288287
20,2015-01-21,8224,0.0702586578007713,100.07025865780078,11644800,11106530.578618344,11162737.504858961
21,2015-01-22,4810,-0.2570704565281527,99.74292954347185,10962000,9983575.579524575,9777919.214302052
22,2015-01-23,8508,0.33334658839898423,100.33334658839898,11701600,10846862.70677638,11113539.977495568
23,2015-01-24,4976,2.2648292556231566,102.26482925562316,10995200,11107288.399586415,12919151.80408494
24,2015-01-25,2121,-0.2562512416232802,99.74374875837673,10424200,10401382.397504998,10196381.404206375
25,2015-01-26,4020,-1.012532107419248,98.98746789258075,10804000,10449766.364823269,9639740.67888787
26,2015-01-27,8132,-0.029320734645341063,99.97067926535466,11626400,11794916.219817199,11771459.632100927
27,2015-01-28,5496,0.44674323536529115,100.44674323536529,11099200,10650155.219344476,11007549.80763671
28,2015-01-29,8327,-1.7308127347738167,98.26918726522618,11665400,10777994.205571424,9393344.017752372
29,2015-01-30,4925,0.06675857346455974,100.06675857346455,10985000,10024763.832601288,10078170.691372937
30,2015-01-31,8276,0.48788548485189986,100.4878854848519,11655200,11974833.949904125,12365142.337785644
31,2015-02-01,181,-1.1077198503409529,98.89228014965904,10036200,10448803.45476883,9562627.574496068
32,2015-02-02,1952,1.3698069760393048,101.3698069760393,10390400,11225085.165042182,12320930.745873626
33,2015-02-03,2539,0.21777194738205294,100.21777194738205,10507800,11297707.025904967,11471924.583810609
34,2015-02-04,4592,1.1784545438681697,101.17845454386817,10918400,10412591.789578259,11355355.424672795
35,2015-02-05,4214,0.6150712046720901,100.61507120467209,10842800,11033763.0680291,11525820.031766772
36,2015-02-06,8885,0.021983926784208213,100.0219839267842,11777000,10786476.903772028,10804064.045199394
37,2015-02-07,5653,0.006464129376197413,100.0064641293762,11130600,12087275.189290285,12092446.492791243
38,2015-02-08,232,1.6463075143283556,101.64630751432836,10046400,10212438.61049289,11529484.621955575
39,2015-02-09,8010,-1.5071743192362224,98.49282568076377,11602000,12332768.405699026,11127028.950310048
40,2015-02-10,3867,-0.6720572246989855,99.32794277530101,10773400,10043676.259882083,9506030.480122894
41,2015-02-11,2746,0.19521188205138792,100.19521188205138,10549200,10035538.232031181,10191707.737672292
