solID,fb_alphas,fb_gammas,fb_thetas,tv_alphas,tv_gammas,tv_thetas,mape,nrmse,decomp.rssd,rsq_train,pos,lambda,Elapsed,ElapsedAccum,iterPar,iterNG,df.int,trial,iterations,coef0,mape.qt10,robynPareto
1_100_1,1.99335589754615,0.951478953995497,0.0168868541646575,0.889489038253451,0.947414734385052,0.0595352771264808,0,0.0393426501110645,0.0136465149561869,0.969690663297345,1,73270.0509863394,0.148027181625366,117.984325170517,1,100,1,1,595,FALSE,TRUE,14
1_100_2,1.95247709019465,0.932403896384167,0.0344207871927163,0.949930620440783,0.900915412382868,0.081870880937494,0,0.0391494041363512,0.034857835783471,0.969987683071075,1,73220.5786906108,0.146022081375122,118.131348133087,2,100,1,1,596,FALSE,TRUE,33
1_100_3,1.99555398537415,0.980804303749496,0.0364938691169255,1.59745854911689,0.75032094556816,0.071486670854419,0,0.0244781175261748,0.145530307492236,0.988267103424246,1,60820.6597740339,0.166965007781982,118.300311088562,3,100,1,1,597,FALSE,TRUE,42
1_100_4,1.98595757606701,0.92435701974037,0.00571163251888871,1.29113906613165,0.642242747930315,0.114743767286379,0,0.0373879171718782,0.0629216816638854,0.972627670770206,1,73255.055556873,0.149094104766846,118.45040512085,4,100,1,1,598,FALSE,TRUE,43
1_100_5,1.96289006408182,0.784398265424943,0.0358589625886881,0.596736249655117,0.559652543572061,0.0899080348429086,0,0.0574001107279774,0.117151570330106,0.935482924715614,0,88053.5156053684,0.146929025650024,118.599335193634,5,100,1,1,599,FALSE,FALSE,
1_100_6,1.99974504988823,0.923544790339137,0.0527403402200282,1.14517730258548,0.962271431875527,0.0845127660204252,0,0.0321352249434625,0.0885550245154649,0.979778568353062,1,66682.2428417789,0.146931886672974,118.747266054153,6,100,1,1,600,FALSE,TRUE,35
1_101_1,1.91647618053299,0.733839751407622,0.0170041572892596,1.03662336665803,0.608077683262953,0.0590820243684058,0,0.0433598595406295,0.0734597414516605,0.963184988154009,1,73052.7270933487,0.147930145263672,119.097108125687,1,101,1,1,601,FALSE,TRUE,58
1_101_2,1.97611141156928,0.986923997900224,0.0409843144788246,0.921697285079736,0.8536901196918,0.096493685633075,0,0.0407882062962811,0.00685789121201277,0.967422449583942,1,66738.6220707048,0.146929025650024,119.245037078857,2,101,1,1,602,FALSE,TRUE,22
1_101_3,1.98438891843536,0.976216771537467,0.0376417783467603,1.7610227065818,0.774204401768533,0.0481358594347366,0,0.0222803600992955,0.179390736569718,0.990279387685169,1,66742.9058374215,0.162930965423584,119.408967018127,3,101,1,1,603,FALSE,TRUE,45
1_101_4,1.90673151601739,0.887128792374126,0.0134829291303783,1.72147208518055,0.967723791626076,0.0963852425698922,0,0.0241444269474256,0.195325495913798,0.988584813390615,1,66693.5122318163,0.150926828384399,119.561892986298,4,101,1,1,604,FALSE,TRUE,54
1_101_5,1.98786533481281,0.91766354684238,0.00909717123724446,0.562303941837968,0.876599022424081,0.116084026011152,0,0.0542761372016145,0.160400281148626,0.94231444512675,1,88230.4908878827,0.150928974151611,119.713821172714,5,101,1,1,605,FALSE,FALSE,
1_101_6,1.9694196605621,0.882965670052543,0.00511395586404822,0.644656327315328,0.821214848425116,0.115677411724952,0,0.052430071128675,0.11395512247624,0.946171769310912,1,88193.2255412473,0.167922019958496,119.882743120194,6,101,1,1,606,FALSE,FALSE,
1_102_1,1.95160099411092,0.991192846390865,0.0377917334754946,1.57036524026113,0.632727694270602,0.0445996042310761,0,0.028276920800347,0.143215080480584,0.98434282368893,1,66740.1373910258,0.143931865692139,120.203592061996,1,102,1,1,607,FALSE,TRUE,56
1_102_2,1.95361532992106,0.996394982396908,0.0167129810278194,1.12572018904929,0.735970286586853,0.0898493426559469,0,0.0362179646950447,0.0499979777634342,0.974313951793543,1,66771.5098331141,0.162922859191895,120.368514060974,2,102,1,1,608,FALSE,TRUE,27
1_102_3,1.97525509641336,0.949660282604723,0.0206826834772986,1.52850449914255,0.974734510145805,0.103164939105388,0,0.02411195042939,0.147450327637796,0.988615501729942,1,60821.2311102859,0.14493203163147,120.516443014145,3,102,1,1,609,FALSE,TRUE,41
1_102_4,1.97602648357787,0.942385740172109,0.0219889607931365,1.06730988664488,0.896407686341734,0.0768366372318996,0,0.0348247599485811,0.0589987913350012,0.976252085639564,1,73253.8747316273,0.144929885864258,120.662374019623,4,102,1,1,610,FALSE,TRUE,33
1_102_5,1.95990983999474,0.909625928096849,0.022892435696573,1.08010308007709,0.688712634215866,0.107778948068619,0,0.0407468030262381,0.0376938317444346,0.967488553620445,1,73225.8600188141,0.163925170898438,120.827298164368,5,102,1,1,611,FALSE,TRUE,42
1_102_6,1.94071816299823,0.816038442805552,0.0212935026421627,1.49639654007627,0.806534274844392,0.0698202972365928,0,0.0261935655843252,0.162741494077234,0.986564975824147,1,66647.4013919145,0.145931005477905,120.974228143692,6,102,1,1,612,FALSE,TRUE,56
